1024_mb_x_16384_kb,1024_mb_x_2048_kb,1024_mb_x_4096_kb,1024_mb_x_512_kb,1024_mb_x_8192_kb,128_mb_x_16384_kb,128_mb_x_2048_kb,128_mb_x_4096_kb,128_mb_x_512_kb,128_mb_x_8192_kb,2048_mb_x_16384_kb,2048_mb_x_2048_kb,2048_mb_x_4096_kb,2048_mb_x_512_kb,2048_mb_x_8192_kb,256_mb_x_16384_kb,256_mb_x_2048_kb,256_mb_x_4096_kb,256_mb_x_512_kb,256_mb_x_8192_kb,512_mb_x_16384_kb,512_mb_x_2048_kb,512_mb_x_4096_kb,512_mb_x_512_kb,512_mb_x_8192_kb,warm-1024,warm-128,warm-2048,warm-256,warm-512
191.36,145.37,109.98,113.18,94.78,30.69,62.49,132.17,141.77,86.08,39.59,64.59,96.88,95.48,96.28,146.47,133.87,145.97,117.98,134.87,137.47,109.88,125.78,102.88,196.36,162.68,11.1,28.1,10.55,184.08
159.6,77.4,37.7,64.5,78.2,28.3,93.1,121.9,107.6,114.61,84.6,89.3,44.7,55.8,99,46.2,112.4,100.2,84.3,77,92.5,38.1,62.6,64.7,105.1,220.65,12.1,143.4,12.35,197.55
90.4,99.8,65,97.7,112.2,36.4,121.3,146.5,164.1,113.2,19.9,90.1,79.7,88.7,93,86,160.5,100.7,144,90.8,130.1,71.1,82.7,99.2,76,205.7,13,156.6,5.45,121.4
119.1,118,97.7,97.6,123.8,31.9,62.2,147,98.2,99.1,68.1,104.3,88.8,99.7,73.9,125,121,127.9,163.6,108.8,96.7,72.8,117.2,77.9,67.5,105.15,12.5,42.8,6.9,17.05
113.7,129.4,123.5,88.7,103,37.4,125,67.3,187.8,107.3,52,114,35.3,81.3,128,95.5,96.3,126.1,152.2,112.1,139.9,67.7,116.7,79.8,100.9,24.35,13.1,32.95,5.6,18.9
108.2,114,108.5,92.2,105.1,41.2,100.5,161.5,135.7,118.2,53.2,85.4,86.6,78.3,105.1,35.2,120.6,116.7,140.6,39.2,96.5,70.8,85.5,69.3,105.6,22.85,18.3,31.75,7.3,18.65
90.6,113.4,134.2,108.1,117.8,47.5,117.2,107.9,109.8,111,50.1,96.8,25.7,65,85.6,22.4,109.8,19,159.5,17.6,110.2,103.1,88.7,81.9,82.9,25.3,19.4,29.95,7.75,23.05
77.8,121.8,131.6,99.7,121.1,52.3,127.2,67,160.1,112.6,27.8,35.5,26.4,43.1,33.7,26.3,16.3,11.3,17.8,23.5,40.3,111,102.9,90.9,38.9,25.8,20.4,36.15,11.4,26.9
23.1,115,103.6,74,75.5,59.8,104.9,139.6,132,110.8,26.5,30.1,25.8,39.1,17.1,37.1,13.4,15.9,18.8,20.4,36.8,76.8,26.6,92.1,20.9,23.2,24.3,34.65,12.95,27.95
21.1,74.2,49.9,76,28.6,58.7,189.5,106.8,90.7,103.4,26,35.4,29.4,41.5,37,40.4,18.2,17.9,12.2,24.8,34.4,23,21.5,54.2,23.3,27.8,24.5,38.4,17.4,46.5
26.3,44.2,35.2,43.9,34.5,62.4,104.8,127.6,129.5,103.6,33.6,36.5,29.8,42.1,36.4,42.8,16.3,26.8,18.7,26.9,37.1,16.1,26.3,17,21.8,34.2,25.9,38,17.6,56.75
27.1,44.8,37.9,29.4,36.2,45.1,150.3,54.6,107.3,67.9,31.9,38.2,30.9,52.4,37.6,48.3,21.3,25.9,21.1,28.8,46.7,24.9,26.1,15.9,23.7,43.75,30.8,68,21.8,67.55
24.8,46,47.3,35.8,35,45.5,53.7,50.7,126.1,100.4,32.5,37.9,35.4,43.5,48.5,55.8,20,22.7,22.9,31.9,53.2,24.6,30.3,16.5,24,41.65,67.65,40.25,73.05,
